8,2 13,0 5,0 226,0 163,0 169,0 27 24 26 28 0 0 0 0 0 0 0 0
4,7 25,0 50,0 110,0 375,0 120,0 22 0 0 0 0 0 0 0 1 1 1 1
6,3 12,0 5,0 112,545454545454 1272,0 857,0 13 27 24 26 28 22 0 0 0 0 0 0
12,3 26,0 5,0 155,0 2050,0 780,0 24 73 22 23 74 0 0 0 0 0 0 0
6,5 10,0 5,0 74,0 830,0 195,0 40 41 0 0 0 0 0 0 1 1 1 1
21,5 11,0 5,0 190,0 300,0 360,0 78 77 0 0 0 0 0 0 1 1 1 1
8,5 6,0 5,0 127,0 420,0 165,0 29 47 0 0 0 0 0 0 1 1 1 1
6,5 19,0 5,0 193,642857142857 1010,0 633,0 13 24 29 26 25 0 0 0 0 0 0 0
7,0 0,0 5,0 206,571428571428 1513,0 854,0 13 24 26 42 28 0 0 0 0 0 0 0
7,8 10,0 5,0 220,357142857142 1652,0 461,0 6 27 24 26 25 28 22 0 0 0 0 0
7,3 56,0 5,0 214,0 526,0 278,0 13 27 24 26 25 28 0 0 0 0 0 0
6,8 11,0 5,0 182,666666666666 1959,0 668,0 13 27 24 26 41 28 0 0 0 0 0 0
11,1 23,0 5,0 105,0 1315,0 365,0 72 41 73 40 0 0 0 0 0 0 0 0
7,3 20,0 5,0 172,928571428571 544,0 299,0 13 27 29 26 28 0 0 0 0 0 0 0
8,9 20,0 5,0 110,0 360,0 205,0 29 47 0 0 0 0 0 0 1 1 1 1
7,4 22,0 5,0 223,8 568,0 345,0 13 27 24 26 28 22 0 0 0 0 0 0
7,7 28,0 5,0 143,0 1350,0 442,0 72 42 41 14 22 40 0 0 0 0 0 0
4,77 25,0 5,0 138,0 600,0 140,0 22 40 0 0 0 0 0 0 1 0 0 1
8,0 6,0 5,0 104,25 1595,0 540,0 24 42 41 73 22 40 0 0 0 0 0 0
1,47 13,0 5,0 45,0 100,0 72,0 12 3 13 0 0 0 0 0 1 1 1 1
4,77 25,0 10,0 138,0 700,0 140,0 22 42 40 39 0 0 0 0 1 0 1 0
9,9 10,0 5,0 96,0 1112,0 395,0 72 42 41 73 22 40 0 0 0 0 0 0
6,6 8,0 5,0 104,75 1260,0 418,0 24 41 22 40 0 0 0 0 0 0 0 0
7,8 19,0 5,0 195,0 225,0 130,0 27 24 26 28 14 0 0 0 0 0 0 0
4,47 25,0 10,0 114,0 600,0 140,0 22 41 0 0 0 0 0 0 1 0 1 0
11,1 24,0 5,0 106,0 2100,0 536,0 72 41 73 40 0 0 0 0 0 0 0 0
8,1 21,0 5,0 130,8 1170,0 367,0 24 29 26 25 28 0 0 0 0 0 0 0
13,7 4,0 5,0 250,0 1217,0 504,0 42 41 73 74 0 0 0 0 0 0 0 0
11,7 2,0 5,0 247,538461538461 3338,0 988,0 24 42 41 73 23 74 0 0 0 0 0 0
5,8 16,0 5,0 55,0 700,0 275,0 22 41 40 73 0 0 0 0 0 0 0 1
6,7 19,0 5,0 100,0 135,0 322,0 72 41 22 23 40 0 0 0 0 0 0 0
9,9 25,0 5,0 107,0 1520,0 530,0 72 41 73 22 40 0 0 0 0 0 0 0
5,9 7,0 5,0 145,0 980,0 516,0 13 29 26 28 22 0 0 0 0 0 0 0
9,5 3,0 5,0 63,0 1188,0 353,0 13 72 41 73 22 40 0 0 0 0 0 0
6,2 18,0 5,0 121,142857142857 793,0 256,0 72 21 22 39 40 0 0 0 0 0 0 0
8,3 4,0 5,0 206,0 230,0 286,0 27 24 29 26 28 0 0 0 0 0 0 0
7,6 2,0 5,0 109,0 2035,0 530,0 13 41 73 22 23 40 0 0 0 0 0 0
16,2 20,0 5,0 172,0 500,0 320,0 73 74 0 0 0 0 0 0 1 1 1 1
6,8 9,0 5,0 119,0 1650,0 640,0 72 42 41 14 22 40 0 0 0 0 0 0
7,2 19,0 5,0 204,0 1923,0 718,0 24 26 28 22 0 0 0 0 0 0 0 0
8,36 15,0 5,0 220,0 1000,0 530,0 27 24 42 0 0 0 0 0 0 1 0 0
8,1 22,0 5,0 170,333333333333 515,0 241,0 13 29 25 28 0 0 0 0 0 0 0 0
6,7 19,0 5,0 189,4 1200,0 386,0 13 24 26 25 28 0 0 0 0 0 0 0
7,5 20,0 5,0 167,0 268,0 280,0 13 27 29 26 28 0 0 0 0 0 0 0
12,2 6,0 5,0 238,142857142857 1883,0 697,0 42 41 14 73 74 0 0 0 0 0 0 0
9,1 2,0 5,0 107,0 1841,0 500,0 13 72 41 73 22 40 0 0 0 0 0 0
21,2 22,0 5,0 210,0 300,0 360,0 78 77 0 0 0 0 0 0 1 1 1 1
7,4 22,0 5,0 227,4 487,0 345,0 13 27 24 26 28 22 0 0 0 0 0 0
6,6 7,0 5,0 104,5 1298,0 482,0 24 41 22 23 40 0 0 0 0 0 0 0
7,9 13,0 5,0 159,230769230769 1631,0 432,0 13 27 24 26 25 28 0 0 0 0 0 0
6,7 10,0 5,0 74,0 950,0 200,0 40 41 29 0 0 0 0 0 1 1 1 1
5,9 7,0 5,0 145,0 980,0 516,0 13 29 26 28 22 0 0 0 0 0 0 0
7,8 16,0 5,0 123,0 1399,0 490,0 72 41 14 22 23 0 0 0 0 0 0 0
9,2 20,0 5,0 134,0 1373,0 511,0 41 73 22 23 0 0 0 0 0 0 0 0
12,4 19,0 5,0 229,0 1246,0 536,0 42 41 73 23 74 0 0 0 0 0 0 0
7,0 0,0 5,0 172,0 794,0 385,0 13 27 26 28 0 0 0 0 0 0 0 0
16,45 15,0 5,0 186,0 960,0 420,0 73 74 0 0 0 0 0 0 1 1 1 1
6,4 10,0 5,0 127,0 619,0 766,0 13 24 26 42 28 22 0 0 0 0 0 0
7,7 35,0 5,0 200,0 240,0 335,0 28 24 26 0 0 0 0 0 1 1 1 1
12,2 23,0 5,0 228,0 1304,0 496,0 42 41 73 22 74 0 0 0 0 0 0 0
6,4 3,0 5,0 209,692307692307 1750,0 1183,0 13 27 24 28 0 0 0 0 0 0 0 0
6,6 0,0 5,0 184,0 1301,0 570,0 27 26 28 14 0 0 0 0 0 0 0 0
