,id,eid,formula,R1,R2,R3,F1,F2,F3,P0,P1,YM,YM_err,YS,YS_err,UTS,UTS_err,DAR,DAR_err,HV,HV_err,moe,moe_class,ph1,ph2,ph3,condition,comments,composition
0,1,Ti-23Nb-10Zr-2.0Fe,Ti0.7791Fe0.0234Zr0.0617Nb0.1358,7,10.1007/s10853-021-06002-0,salvador2021,1,0,0,1860.00,90.00,79.00,1.00,782.00,62.00,,,10.00,1.00,252.00,8.00,12.88,meta,Ti-beta,,,ST-WQ,"Young modulus obtained via tensile tests (Table 3). Grain size not reported, estimated from Fig. 9. ",Ti0.7791 Fe0.0234 Zr0.0617 Nb0.1358
1,2,Ti-27Nb-10Zr-1.5Fe,Ti0.7575Fe0.0156Zr0.0637Nb0.1632,7,10.1007/s10853-021-06002-0,salvador2021,1,1,0,1400.00,60.00,78.00,3.00,735.00,94.00,,,9.00,1.00,229.00,2.00,11.65,meta,Ti-beta,,,ST-WQ,"Young modulus obtained via tensile tests (Table 3). Grain size not reported, estimated from Fig. 9. ",Ti0.7575 Fe0.0156 Zr0.0637 Nb0.1632
2,3,Ti-31Nb-10Zr-1.0Fe,Ti0.7298Fe0.0138Zr0.0664Nb0.1899,7,10.1007/s10853-021-06002-0,salvador2021,1,0,0,1310.00,60.00,77.00,2.00,672.00,99.00,,,15.00,6.00,218.00,5.00,12.08,meta,Ti-beta,,,ST-WQ,"Young modulus obtained via tensile tests (Table 3). Grain size not reported, estimated from Fig. 9. ",Ti0.7298 Fe0.0138 Zr0.0664 Nb0.1899
3,4,Ti-11Nb-7Zr-3.5Fe,Ti0.8622Fe0.0349Zr0.041Nb0.0618,8,10.1016/j.matdes.2018.10.040,dalbo2018,1,1,0,1640.00,100.00,90.00,2.00,1011.00,17.00,,,4.00,1.00,358.00,3.00,13.78,meta,Ti-beta,Ti-omega,,ST-WQ,Young modulus obtained via tensile tests (Table 3),Ti0.8622 Fe0.0349 Zr0.041 Nb0.0618
4,5,Ti-19Nb-6Sn-2.5Fe,Ti0.8376Fe0.0256Nb0.11Sn0.0268,8,10.1016/j.matdes.2018.10.040,dalbo2018,1,1,0,1280.00,70.00,71.00,2.00,765.00,10.00,,,31.00,5.00,260.00,9.00,12.76,meta,Ti-beta,Ti-omega,,ST-WQ,Young modulus obtained via tensile tests (Table 3),Ti0.8376 Fe0.0256 Nb0.11 Sn0.0268
5,6,Ti-19Nb-10Zr-2.5Fe,Ti0.7974Fe0.027Zr0.0619Nb0.1137,8,10.1016/j.matdes.2018.10.040,dalbo2018,1,1,0,1570.00,70.00,69.00,1.00,1027.00,33.00,,,8.00,2.00,267.00,3.00,13.12,meta,Ti-beta,Ti-omega,,ST-WQ,Young modulus obtained via tensile tests (Table 3),Ti0.7974 Fe0.027 Zr0.0619 Nb0.1137
6,7,Ti-31Nb-1.0Fe,Ti0.8085Fe0.011Nb0.1805,9,10.1016/j.jmbbm.2016.09.024,salvador2017,1,1,0,1400.00,,81.00,3.00,477.00,79.00,,,-32.00,,230.00,11.00,11.55,meta,Ti-beta,Ti-omega,,ST-WQ,Average grain size not reported. Young modulus obtained via pulse-echo ultrasonic testing. Yield strength obtained via compression tests.,Ti0.8085 Fe0.011 Nb0.1805
7,8,Ti-27Nb-1.5Fe,Ti0.8254Fe0.0162Nb0.1584,9,10.1016/j.jmbbm.2016.09.024,salvador2017,1,1,0,1300.00,,94.00,2.00,496.00,31.00,,,-33.00,,277.00,16.00,12.23,meta,Ti-beta,Ti-omega,,ST-WQ,Average grain size not reported. Young modulus obtained via pulse-echo ultrasonic testing. Yield strength obtained via compression tests.,Ti0.8254 Fe0.0162 Nb0.1584
8,9,Ti-23Nb-2.0Fe,Ti0.8458Fe0.0217Nb0.1325,9,10.1016/j.jmbbm.2016.09.024,salvador2017,1,1,0,1300.00,,95.00,5.00,604.00,55.00,,,-34.00,,314.00,6.00,12.89,meta,Ti-beta,Ti-omega,,ST-WQ,Average grain size not reported. Young modulus obtained via pulse-echo ultrasonic testing. Yield strength obtained via compression tests.,Ti0.8458 Fe0.0217 Nb0.1325
9,10,Ti-19Nb-2.5Fe,Ti0.8707Fe0.0254Nb0.1039,9,10.1016/j.jmbbm.2016.09.024,salvador2017,1,1,0,1600.00,,90.00,3.00,672.00,77.00,,,-32.00,,334.00,4.00,12.92,meta,Ti-beta,Ti-omega,,ST-WQ,Average grain size not reported. Young modulus obtained via pulse-echo ultrasonic testing. Yield strength obtained via compression tests.,Ti0.8707 Fe0.0254 Nb0.1039
